2025-12-11 08:51:55,538 INFO    MainThread:12203 [wandb_setup.py:_flush():81] Current SDK version is 0.21.3
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_setup.py:_flush():81] Configure stats pid to 12203
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_setup.py:_flush():81] Loading settings from /home/ubuntu/.config/wandb/settings
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_setup.py:_flush():81] Loading settings from /home/ubuntu/nano-embed/wandb/settings
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /home/ubuntu/nano-embed/wandb/run-20251211_085155-nqv2hxhl/logs/debug.log
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /home/ubuntu/nano-embed/wandb/run-20251211_085155-nqv2hxhl/logs/debug-internal.log
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_init.py:init():813] calling init triggers
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'run': '', 'device_type': '', 'depth': 34, 'max_seq_len': 2048, 'bidirectional': True, 'use_lora': True, 'lora_rank': 4, 'lora_alpha': 32, 'lora_dropout': 0.0, 'mask_ratio': 0.15, 'num_iterations': -1, 'target_flops': -1.0, 'target_param_data_ratio': 20, 'device_batch_size': 32, 'total_batch_size': 524288, 'embedding_lr': 0.2, 'unembedding_lr': 0.004, 'weight_decay': 0.0, 'matrix_lr': 0.02, 'grad_clip': 1.0, 'warmup_ratio': 0.0, 'warmdown_ratio': 0.2, 'final_lr_frac': 0.0, 'resume_from_step': -1, 'eval_every': 250, 'eval_tokens': 10485760, 'core_metric_every': 2000, 'core_metric_max_per_task': 500, 'sample_every': 2000, 'save_every': -1, 'model_tag': '', '_wandb': {}}
2025-12-11 08:51:55,539 INFO    MainThread:12203 [wandb_init.py:init():854] starting backend
2025-12-11 08:51:55,746 INFO    MainThread:12203 [wandb_init.py:init():857] sending inform_init request
2025-12-11 08:51:55,750 INFO    MainThread:12203 [wandb_init.py:init():865] backend started and connected
2025-12-11 08:51:55,752 INFO    MainThread:12203 [wandb_init.py:init():936] updated telemetry
2025-12-11 08:51:55,758 INFO    MainThread:12203 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-12-11 08:51:56,239 INFO    MainThread:12203 [wandb_init.py:init():1011] starting run threads in backend
2025-12-11 08:51:56,341 INFO    MainThread:12203 [wandb_run.py:_console_start():2494] atexit reg
2025-12-11 08:51:56,342 INFO    MainThread:12203 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-12-11 08:51:56,342 INFO    MainThread:12203 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-12-11 08:51:56,342 INFO    MainThread:12203 [wandb_run.py:_redirect():2434] Redirects installed.
2025-12-11 08:51:56,344 INFO    MainThread:12203 [wandb_init.py:init():1057] run started, returning control to user process
2025-12-11 08:51:56,443 INFO    wandb-AsyncioManager-main:12203 [service_client.py:_forward_responses():84] Reached EOF.
2025-12-11 08:51:56,443 INFO    wandb-AsyncioManager-main:12203 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
